X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8373252.61294254,4860584.8605418,1,3021412E,Bus,Infodev,30,Eastbound,21412,Haverford Av & 49th St,39.963123,-75.218208,Fall 2022,5,5,1,1,0,2
-8371486.08394314,4859520.60715826,2,3021425E,Bus,Infodev,30,Eastbound,21425,40th St & Chestnut St,39.955795,-75.202339,Fall 2022,1,11,1,3,2,2
-8372031.32680904,4858661.35804518,3,3021432E,Bus,Infodev,30,Eastbound,21432,42nd St & Baltimore Av,39.949878,-75.207237,Fall 2022,0,5,0,3,0,1
-8371619.33337362,4858538.36530993,4,3020730E,Bus,Infodev,30,Eastbound,20730,Woodland Av & 40th St,39.949031,-75.203536,Fall 2022,2,3,1,3,0,0
-8370409.95842564,4858549.98203208,5,3021438E,Bus,Infodev,30,Eastbound,21438,Civic Center Blvd & Convention Av - FS,39.949111,-75.192672,Fall 2022,21,20,3,0,1,3
-8370112.73538522,4859027.58628269,6,3021443E,Bus,Infodev,30,Eastbound,21443,33rd St & Walnut St,39.9524,-75.190002,Fall 2022,3,3,1,1,0,0
-8370066.87175501,4859322.81498959,7,3030196E,Bus,Infodev,30,Eastbound,30196,33rd St & Chestnut St - FS,39.954433,-75.18959,Fall 2022,2,2,0,1,1,1
-8370052.40022121,4859457.43522252,8,3021445E,Bus,Infodev,30,Eastbound,21445,33rd St & Market St,39.95536,-75.18946,Fall 2022,0,8,0,2,0,1
-8369354.31569445,4859491.27209445,9,301537E,Bus,Infodev,30,Eastbound,1537,30th St & Market St - MBNS,39.955593,-75.183189,Fall 2022,0,38,0,6,0,4
-8372783.73524731,4863060.03931198,10,3831614W,Bus,Infodev,38,Westbound,31614,Belmont Av & Av of the Republic,39.980163,-75.213996,Fall 2022,1,1,0,0,2,1
-8376930.94287682,4861711.25183455,11,3021396E,Bus,Infodev,30,Eastbound,21396,66th St & Girard Av - FS,39.970878,-75.251251,Fall 2022,10,8,0,3,0,4
-8372703.13993598,4860497.28189162,12,3021415E,Bus,Infodev,30,Eastbound,21415,Haverford Av & 46th St,39.96252,-75.213272,Fall 2022,5,16,3,6,1,1
-8371482.63303892,4860378.76872912,13,3021422E,Bus,Infodev,30,Eastbound,21422,40th St & Spring Garden St,39.961704,-75.202308,Fall 2022,3,3,4,0,3,1
-8372026.20611247,4858860.73439205,14,3021431E,Bus,Infodev,30,Eastbound,21431,42nd St & Pine St,39.951251,-75.207191,Fall 2022,1,2,0,1,0,0
