X,Y,FID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WK_Ons,WK_Offs,Sat_Ons,Sat_Offs,Sun_Ons,Sun_Offs
-8368865.06653241,4854404.69116874,1,Bus,17,Southbound,21338,19th St & Porter St,39.920558,-75.178794,Fall 2025,2,28,1,8,2,8
-8368894.78883645,4854219.77364412,2,Bus,17,Southbound,21339,19th St & Shunk St,39.919284,-75.179061,Fall 2025,0,30,0,15,0,8
-8368926.29225235,4854036.02070498,3,Bus,17,Southbound,21340,19th St & Oregon Av,39.918018,-75.179344,Fall 2025,3,214,1,138,2,108
-8368961.02393347,4853831.08067578,4,Bus,17,Southbound,21341,19th St & Johnston St,39.916606,-75.179656,Fall 2025,0,14,1,9,0,11
-8369226.07564105,4853366.64299014,5,Bus,17,Southbound,21342,20th St & Penrose Av,39.913406,-75.182037,Fall 2025,0,2,0,1,0,0
-8369299.10122701,4852956.93988382,6,Bus,17,Southbound,21343,20th St & Geary St,39.910583,-75.182693,Fall 2025,1,7,0,2,0,6
-8369322.92359804,4852779.16040257,7,Bus,17,Southbound,21344,20th St & Hartranft St,39.909358,-75.182907,Fall 2025,0,1,0,0,0,0
-8369351.75534616,4852601.52922268,8,Bus,17,Southbound,21345,20th St & Reserve Dr,39.908134,-75.183166,Fall 2025,0,4,0,1,0,2
-8368920.28099984,4852302.5819514,9,Bus,17,Southbound,21347,Pattison Av & 20th St - MBFS,39.906074,-75.17929,Fall 2025,0,0,1,0,0,1
-8367785.60143019,4851791.05467949,10,Bus,17,Southbound,21349,11th St & Zinkoff Blvd - FS,39.902549,-75.169097,Fall 2025,0,0,0,1,3,8
-8365157.01429409,4858707.97080206,11,Bus,17,Southbound,30079,Market St & 3rd St,39.950199,-75.145484,Fall 2025,170,7,51,0,46,2
-8368133.80879739,4858789.2895309,12,Bus,17,Southbound,30327,19th St & Moravian St - FS,39.950759,-75.172225,Fall 2025,47,32,36,28,27,19
-8369264.25822639,4853153.44433205,13,Bus,17,Southbound,30870,20th St & Penrose Av - MBFS,39.911937,-75.18238,Fall 2025,0,1,0,1,0,1
-8367858.73833564,4851356.02325682,14,Bus,17,Southbound,30871,11th St & I95,39.899551,-75.169754,Fall 2025,0,0,0,1,0,0
-8369113.97691382,4853998.86412546,15,Bus,17,Southbound,30872,20th St & Oregon Av - FS,39.917762,-75.18103,Fall 2025,0,10,1,7,1,3
-8364960.86935131,4858725.68661127,16,Bus,17,Southbound,31442,2nd St & Market St - MBNS,39.950321,-75.143722,Fall 2025,181,0,108,0,79,0
